name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Oval 3,,,,Melbourne SE,-38.14938090314594,145.19231151080038,214011374,Langwarrin,Frankston,Greater Melbourne,7.0,1040.351747
Keysborough Football Club,,,,Melbourne SE,-37.99517214958911,145.16821143660349,212041565,Keysborough - North,Dandenong,Greater Melbourne,2.0,914.4904786
RM Hooper Park,,,,Melbourne SE,-38.28573254018645,145.1379313199415,214021378,Flinders,Mornington Peninsula,Greater Melbourne,10.0,1092.893474
Skye Prmary School Public Oval,,,,Melbourne SE,-38.11658407254217,145.20095153636726,214011376,Skye - Sandhurst,Frankston,Greater Melbourne,8.0,1048.567469
Kennedy Community Centre,,Hawthorn Football Club,,Melbourne SE,-37.96592434315118,145.121828283586,212041313,Dingley Village,Dandenong,Greater Melbourne,9.0,1066.427157
Hogben-Meckiff Oval,,,,Melbourne SE,-37.98502748993176,145.06302916842367,208031190,Mentone,Kingston,Greater Melbourne,8.0,1060.694497
Langwarrin Junior Football Club,3910,,https://www.langyjfc.com.au/,Melbourne SE,-38.14891511569981,145.1913512162121,214011374,Langwarrin,Frankston,Greater Melbourne,7.0,1040.351747
West Oval,,,,Melbourne SE,-38.07724742238396,145.13189125168927,208031185,Carrum - Patterson Lakes,Kingston,Greater Melbourne,7.0,1042.978764
East Oval,,,,Melbourne SE,-38.07674762618019,145.13347962398814,208031185,Carrum - Patterson Lakes,Kingston,Greater Melbourne,7.0,1042.978764
Frankston Football Club,,,,Melbourne SE,-38.14740501158342,145.12116948130736,214011371,Frankston,Frankston,Greater Melbourne,4.0,971.7351039
McCartney Oval,,,,Geelong & Bellarine,-38.33602266267524,144.3148246069133,203031053,Torquay,Surf Coast - Bellarine Peninsula,Rest of Vic.,10.0,1096.847321
