stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
vic:rail:DNG_DP2,Decision point 2,-37.98998645,145.20975908,train,1
vic:rail:DNG_DP3,Decision point 3,-37.98989741,145.20982956,train,1
vic:rail:DNG_DP4,Decision point 4,-37.98974582,145.20993573,train,1
vic:rail:DNG_DP5,Decision point 5,-37.99003912,145.2096667,train,1
vic:rail:DNG_DP6,Decision point 6,-37.99001313,145.20973566,train,1
vic:rail:DNG_DP7,Decision point 7,-37.99005038,145.20981446,train,1
vic:rail:DNG_DP8,Decision point 8,-37.9899719,145.20998717,train,1
vic:rail:DNG_EN1,Cheltenham Rd,-37.99042648,145.20965729,train,1
vic:rail:DNG_EN2,Cheltenham Rd,-37.99049353,145.20991756,train,1
vic:rail:DNG_EN3,Foster St,-37.98957154,145.21032712,train,1
vic:rail:DNG_EN4,Foster St,-37.98972867,145.20999308,train,1
vic:rail:DNG_EN5,Ruddock St,-37.98986155,145.20984182,train,1
vic:rail:DNG_LI1,Lift 1,-37.99007636,145.20974551,train,1
vic:rail:DNG_LI2,Lift 2,-37.98993361,145.20984007,train,1
vic:rail:DNG_PR1,Park & Ride,-37.9908686,145.21028421,train,1
vic:rail:DNG_PR2,Park & Ride 2,-37.99024441,145.21131283,train,1
vic:rail:DNG_TX1,Taxi Zone,-37.98930181,145.20977572,train,1
vic:rail:DRN,Drouin Railway Station,-38.1364519,145.85594693,train,1
vic:rail:ECH,Echuca Railway Station,-36.13098223,144.75345866,train,1
vic:rail:EME,Elmore Railway Station,-36.49502002,144.60775752,train,1
vic:rail:EOA,Euroa Railway Station,-36.74918387,145.56802043,train,1
vic:rail:EPH,East Pakenham Railway Station,-38.08430672,145.50663267,train,1
vic:rail:EPH_CN1,Concourse,-38.08430643,145.50660987,train,1
vic:rail:EPH_ConX,Connex,-38.08428464,145.50631386,train,1
vic:rail:EPH_DP1,Decision point 1,-38.0841088,145.5066595,train,1
vic:rail:EPH_EN1,Pinehill Dr,-38.08402116,145.50685512,train,1
vic:rail:EPH_EN2,Sharnet Cct,-38.0844859,145.50654921,train,1
vic:rail:EPH_KR1,Kiss & Ride,-38.08430376,145.50781854,train,1
vic:rail:EPH_LI1,Lift,-38.08429713,145.50658726,train,1
vic:rail:EPH_PR1,Park & Ride,-38.08439523,145.50934455,train,1
vic:rail:EPM,Epsom Railway Station,-36.70628781,144.3210526,train,1
vic:rail:ESD,Essendon Railway Station,-37.7560117,144.9161975,train,1
vic:rail:ESD_DP1,Decision point 1,-37.75623246,144.9159416,train,1
vic:rail:ESD_DP2,Decision point 2,-37.75623607,144.9161458,train,1
vic:rail:ESD_DP3,Decision point 3,-37.75622288,144.91641859,train,1
vic:rail:ESD_EN1,Rose St,-37.75593422,144.91589321,train,1
vic:rail:ESD_EN2,Rose St,-37.75637578,144.91589217,train,1
